time_s,omega_1_rad_s,omega_2_rad_s,omega_3_rad_s,psi_rad,epsilon_rad,theta_rad,moon_x_inertial_m,moon_y_inertial_m,moon_z_inertial_m,moon_x_body_m,moon_y_body_m,moon_z_body_m,normalized_torque_1_s-2,normalized_torque_2_s-2,normalized_torque_3_s-2,omega_dot_1_s-2,omega_dot_2_s-2,omega_dot_3_s-2,rotation_axis_body_x,rotation_axis_body_y,rotation_axis_body_z,figure_axis_body_x,figure_axis_body_y,figure_axis_body_z
2.329200000000000000e+06,6.114387717100820868e-11,3.882957565158648288e-11,7.292115146699999588e-05,-1.552776533029404836e-05,4.101516792159226599e-01,1.698479602369197323e+02,3.786748740763348937e+08,-3.170709294892741367e+07,0.000000000000000000e+00,3.653630839596826434e+08,-1.033839273428966403e+08,-1.488557847813045233e+07,9.414827129772154166e-18,3.327238927257861784e-17,-0.000000000000000000e+00,8.314903215812735034e-20,4.796672908508664395e-17,-0.000000000000000000e+00,8.384930289896522374e-07,5.324871435846622004e-07,9.999999999995067279e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.332800000000000000e+06,6.115581678544252675e-11,3.899028300560741320e-11,7.292115146699999588e-05,-1.603883987709103591e-05,4.101515174877310987e-01,1.701104768508871530e+02,3.789613070596755147e+08,-2.807717492238716036e+07,0.000000000000000000e+00,3.277081660702878833e+08,-1.919208369541868269e+08,-1.318143518942592293e+07,1.547670251377641087e-17,2.642673863920140793e-17,-0.000000000000000000e+00,6.106402585496527322e-18,4.112394782735006722e-17,-0.000000000000000000e+00,8.386567622027740499e-07,5.346909946043972738e-07,9.999999999995053956e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.336400000000000000e+06,6.118458546248330383e-11,3.912483914176201118e-11,7.292115146699999588e-05,-1.663887466306702333e-05,4.101514144202247358e-01,1.703729935464365042e+02,3.792129450210947990e+08,-2.444467893894545734e+07,0.000000000000000000e+00,2.689947980645878911e+08,-2.681605827946526408e+08,-1.147608162326607481e+07,1.882704569234065619e-17,1.888561436354744177e-17,-0.000000000000000000e+00,9.424408698110836298e-18,3.358973735461395078e-17,-0.000000000000000000e+00,8.390512797941988634e-07,5.365362224079567618e-07,9.999999999995041744e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.340000000000000000e+06,6.122052452847858642e-11,3.923236358819183269e-11,7.292115146699999588e-05,-1.728637307767320300e-05,4.101513772252418089e-01,1.706355102855129076e+02,3.794297648559954762e+08,-2.080993852283030376e+07,0.000000000000000000e+00,1.929893879120390415e+08,-3.271997090711422563e+08,-9.769674359791453928e+06,1.955629610400325854e-17,1.153472179315897968e-17,-0.000000000000000000e+00,1.012781840703925078e-17,2.624748180354308578e-17,-0.000000000000000000e+00,8.395441281005156574e-07,5.380107526953504292e-07,9.999999999995028421e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.343600000000000000e+06,6.125477971709612837e-11,3.931499634560338147e-11,7.292115146699999588e-05,-1.793656072903698621e-05,4.101514085571570933e-01,1.708980270270554911e+02,3.796117466566698551e+08,-1.717328740434634686e+07,0.000000000000000000e+00,1.045715795829436928e+08,-3.652393501969460845e+08,-8.062370075889733620e+06,1.801498471053265353e-17,5.157865400667145576e-18,-0.000000000000000000e+00,8.566648380566786107e-18,1.987885775425840678e-17,-0.000000000000000000e+00,8.400138846516443333e-07,5.391439322426985157e-07,9.999999999995019540e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.347200000000000000e+06,6.128015471905543286e-11,3.937740014586327369e-11,7.292115146699999588e-05,-1.854447421017505493e-05,4.101515063297730967e-01,1.711605437298300956e+02,3.797588737141278386e+08,-1.353505948923285492e+07,0.000000000000000000e+00,9.420564393886858597e+06,-3.798300613610632420e+08,-6.354325530810149387e+06,1.476564425522010196e-17,3.662182556722349308e-19,-0.000000000000000000e+00,5.302310795712611717e-18,1.509330883068458977e-17,-0.000000000000000000e+00,8.403618632757987689e-07,5.399997031542161117e-07,9.999999999995011768e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.350800000000000000e+06,6.129175811404378788e-11,3.942603998662644909e-11,7.292115146699999588e-05,-1.906806290412596706e-05,4.101516638601806486e-01,1.714230603552737193e+02,3.798711325196309686e+08,-9.895588828005546704e+06,0.000000000000000000e+00,-8.635020163514958322e+07,-3.700298098421618342e+08,-4.645697551770365797e+06,1.051674278972494823e-17,-2.454188382349842188e-18,0.000000000000000000e+00,1.041720010179714451e-18,1.227569076670829390e-17,0.000000000000000000e+00,8.405209857629630592e-07,5.406667228019399347e-07,9.999999999995006217e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.354400000000000000e+06,6.128738992357624828e-11,3.946831353657812003e-11,7.292115146699999588e-05,-1.947108987588164317e-05,4.101518703296657131e-01,1.716855768701549607e+02,3.799485127659327388e+08,-6.255209585285139270e+06,0.000000000000000000e+00,-1.765863415415743291e+08,-3.364649166090547442e+08,-2.936643019557098392e+06,6.044836389723051249e-18,-3.172501769386096684e-18,0.000000000000000000e+00,-3.440345737524872475e-18,1.155632759876075882e-17,0.000000000000000000e+00,8.404610828352162063e-07,5.412464386882252831e-07,9.999999999995003996e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.358000000000000000e+06,6.126763808373767011e-11,3.951161781379469515e-11,7.292115146699999588e-05,-1.972563176138853908e-05,4.101521115298706333e-01,1.719480932488664280e+02,3.799910073482250571e+08,-2.614256009115411900e+06,0.000000000000000000e+00,-2.554886123266175985e+08,-2.812899974400967360e+08,-1.227318854121818440e+06,2.112055383591668754e-18,-1.918326652285996839e-18,0.000000000000000000e+00,-7.383533799835826361e-18,1.280575587513143686e-17,0.000000000000000000e+00,8.401902171201086377e-07,5.418402893933412188e-07,9.999999999995002886e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.361600000000000000e+06,6.123568143612478181e-11,3.956244192039550265e-11,7.292115146699999588e-05,-1.981400523075475725e-05,4.101523708427435300e-01,1.722106094751914043e+02,3.799986123647904396e+08,1.026937599726387183e+06,0.000000000000000000e+00,-3.179861411484618187e+08,-2.080494691167097390e+08,4.821179998271385557e+05,-6.136398645276437787e-19,9.378969982689485071e-19,0.000000000000000000e+00,-1.012144329944872125e-17,1.565429957699782967e-17,0.000000000000000000e+00,8.397519814783231829e-07,5.425372628445049314e-07,9.999999999995002886e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
